episode,agent_pio,default_pio,loss
1,73.4002740204029,91.68391751205698,33.8099250793457
2,104.49103180329547,109.98875731981256,9.11194133758545
3,108.13108886279042,108.09794959933723,-0.07896020263433456
4,103.54275955950754,94.31735813388963,-14.756171226501465
5,49.71285778131169,32.168978135872926,-27.881698608398438
6,108.12628351564206,107.99048101098406,-0.3024733364582062
7,55.11757735946361,55.08675649295959,-0.0674668550491333
8,99.56071746281094,108.13756934343543,13.687561988830566
9,91.13233967569718,18.765452164443435,-115.99089813232422
10,33.36235279787632,42.79136859872554,15.076985359191895
11,109.98875731981256,109.98875731981256,-0.01771889440715313
12,24.707175757883856,66.04584685533027,76.27472686767578
13,32.769436008847734,70.25621490759606,69.0936279296875
14,36.72284688187863,109.98875731981256,120.22573852539062
15,108.15533665082961,108.0857732991178,-0.12941449880599976
16,51.55277806917455,58.42274211342883,12.574052810668945
17,17.392750289313845,17.146429381659487,-0.9237726926803589
18,96.36751197848392,68.26367748036455,-43.902984619140625
19,109.98875731981256,109.98875731981256,-0.017714394256472588
20,109.98875731981256,109.98875731981256,-0.017711972817778587
21,92.04483428943404,85.64742239068687,-11.615152359008789
22,75.40209751006421,37.10894603608606,-69.88611602783203
23,108.03220769506807,82.56114389610346,-39.78265380859375
24,109.98875731981256,109.98875731981256,-0.017711244523525238
25,82.57514381431136,108.09708077491275,47.96259689331055
26,109.98875731981256,109.98875731981256,-0.017712075263261795
27,19.21509270047357,64.57359209145142,71.1326904296875
28,88.33996891852327,108.03462126760056,41.67580032348633
29,66.36884568908422,49.39116689455624,-26.67863655090332
30,108.13031800007552,94.30773959533072,-22.389053344726562
31,82.53910366028339,108.12661621794652,47.16505813598633
32,103.1640839075382,71.10431359124351,-51.83607482910156
33,109.98875731981256,109.98875731981256,-0.017707083374261856
34,109.98875731981256,109.98875731981256,-0.017709409818053246
35,108.12805923562831,94.30228862027144,-21.83197021484375
36,109.98875731981256,109.98875731981256,-0.01770927757024765
37,57.00325181427149,38.84235928078005,-87.63099670410156
38,78.61703566921587,23.741760519148297,-101.40180206298828
39,91.76103472064307,96.30349545861503,7.341292858123779
40,49.72534657485563,64.79919949271803,51.455039978027344
41,97.78218375199819,109.98875731981256,19.806854248046875
42,109.98875731981256,109.98875731981256,-0.017709461972117424
43,37.169915547057904,67.11618451142573,55.00658416748047
44,108.1276575383862,108.02740533846084,-0.2054065316915512
45,109.98875731981256,109.98875731981256,-0.017760897055268288
46,109.98875731981256,108.09598028472443,-3.007636070251465
47,95.89963135762541,109.98875731981256,29.469743728637695
48,108.13045467754267,55.12594285558364,-99.18135833740234
49,108.13125635481967,109.98875731981256,3.8659605979919434
50,31.691483631647454,36.949947230950556,8.304313659667969
51,87.99850663954523,109.98875731981256,47.33720016479492
52,38.8043811853361,24.756898662558395,-70.6005630493164
53,40.584026489426584,30.97758211940246,-35.73185729980469
54,19.803504574416124,19.016337153403306,-1.2932778596878052
55,109.98875731981256,109.98875731981256,-0.01771007850766182
56,73.83656775136595,64.52213809536589,-34.47611999511719
57,109.98875731981256,109.98875731981256,-0.017714394256472588
58,82.68211683327603,75.26756064093468,-11.673946380615234
59,102.13717763416948,109.98875731981256,12.999836921691895
60,109.98875731981256,96.27207651457452,-22.305522918701172
61,109.98875731981256,109.98875731981256,-0.01771591231226921
62,52.16433071508007,13.484235693412565,-141.1477508544922
63,94.29249590385527,109.98875731981256,24.624622344970703
64,90.9185654554838,92.07553726299292,2.161100387573242
65,109.98875731981256,109.98875731981256,-0.017713185399770737
66,96.32933353404681,108.13643925664685,21.627826690673828
67,108.02950886953427,109.98875731981256,3.0609958171844482
68,98.82461673606282,90.01227230945172,-16.424020767211914
69,18.89283911759188,36.97224358847396,37.90901565551758
70,96.29341192593412,91.70795234577365,-8.573365211486816
71,109.98875731981256,109.98875731981256,-0.017715606838464737
72,32.34109848676651,68.10132904146384,65.58709716796875
73,63.121850662914404,37.008514493417195,-40.931575775146484
74,93.42789860188759,74.87170903925724,-35.029476165771484
75,55.26812557022507,70.87322610783399,32.62812423706055
76,45.93465323154378,97.77568328807868,107.47994995117188
77,86.58416728068002,34.44900708186233,-95.41722106933594
78,33.29349719012943,50.55426089301306,28.465091705322266
79,60.824651802253115,37.49436519343595,-42.60112380981445
80,100.34679785238833,63.206616417077484,-68.16088104248047
81,95.19503278379986,64.39354795107182,-48.417152404785156
82,76.38946040724261,20.37639932626556,-208.23809814453125
83,109.98875731981256,90.0986061796819,-37.60381317138672
84,102.45677158433521,90.99814596157779,-21.631689071655273
85,18.809613821043364,108.06244726362651,139.97279357910156
86,19.09271148168399,108.09962031514658,139.6573486328125
87,55.13675971735839,108.12667618162655,86.4828872680664
88,109.98875731981256,109.98875731981256,-0.017715224996209145
89,18.864827452731674,109.98875731981256,141.7488250732422
90,12.709102923468812,12.89325440313692,0.6087400913238525
91,55.06966261888895,70.03601965399449,24.673036575317383
92,55.14219724370056,107.91651394013685,97.22248840332031
93,108.1286493422757,91.68192323309358,-25.68146514892578
94,108.09862624750716,55.20125679726877,-97.3913345336914
95,19.37643702342267,102.48839666297106,158.38153076171875
96,28.252852721259316,37.18595966486108,16.419612884521484
97,28.004415385841494,55.26486052072397,42.65011978149414
98,91.67748957868065,100.83168553706915,17.485687255859375
